"","GSM4103849","GSM4103850","GSM4103851","GSM4103852","GSM4103853","GSM4103854","GSM4103855","GSM4103856","GSM4103857","GSM4103858","GSM4103859","GSM4103860","GSM4103861","GSM4103862","GSM4103863","GSM4103864","GSM4103865","GSM4103866","GSM4103867","GSM4103868","GSM4103869","GSM4103870","GSM4103871","GSM4103872","GSM4103873","GSM4103874","GSM4103875","GSM4103876","GSM4103877","GSM4103878","GSM4103879","GSM4103880","GSM4103881","GSM4103882","GSM4103883","GSM4103884"
"GSM4103862",0.973485096545518,0.985216534891097,0.988099362418199,0.964353486680974,0.954390864774617,0.970652229296808,0.977040473246317,0.972487846144635,0.974486245119394,0.977431545767729,0.968975011669719,0.936527282794042,0.967279806094694,1,0.978222845394911,0.972925516423942,0.983806537549613,0.9752980030955,0.983575999632023,0.98309402636664,0.966233529365089,0.974929911183364,0.97520500721821,0.977826986816447,0.965051458198814,0.968527069003997,0.984771824457615,0.96201441083581,0.983626170697055,0.977156058061751,0.953234460708875,0.962429484112847,0.984111408735601,0.97112773203996,0.975637031071869,0.983727213193444
"GSM4103863",0.974063253983464,0.980478432434014,0.979009276238622,0.970755212874721,0.96314601620252,0.977676579511503,0.980224224638645,0.977254871356335,0.980859284273281,0.98119421383286,0.978593720300958,0.956330502236337,0.971770166820901,0.978222845394911,1,0.980476690747479,0.982073698014004,0.974272373146228,0.973247919241608,0.977197293409087,0.972830635311263,0.97567923077624,0.972643884286088,0.977692305059407,0.970693499983195,0.974126962155472,0.978933407266371,0.967888503679866,0.973657650459182,0.972218013312609,0.966242191804652,0.973290427724425,0.977883412959678,0.97445780088221,0.978363933714471,0.978787089982633
"GSM4103864",0.972353845442419,0.974309092068375,0.978365633889843,0.978891998101324,0.966741899528912,0.977950473471991,0.979897321450624,0.980319336319652,0.976211144854969,0.981089764979775,0.979339927689939,0.962763641252695,0.976799124907216,0.972925516423942,0.980476690747479,1,0.975104454840174,0.975283378883789,0.964767077957424,0.974844099894801,0.976410727908457,0.980302441051941,0.974660722351258,0.973034529486211,0.975669030338867,0.974253366518318,0.973337903426015,0.957066888245358,0.963837759198667,0.96474107048864,0.968940502965201,0.973219819469703,0.970435003192162,0.966035038384307,0.973544600149091,0.972206320164811
"GSM4103865",0.980397265517858,0.984058500742226,0.983947691901657,0.968430562948141,0.958604864986879,0.977233819974966,0.978338701917829,0.979388386390098,0.979619680735191,0.978635346012983,0.971646572425834,0.945375491893376,0.967606466873327,0.983806537549613,0.982073698014004,0.975104454840174,1,0.975607163948336,0.980293987876565,0.980710964928808,0.968324657101518,0.974978513231646,0.973675973674911,0.977284972521944,0.969005610798507,0.967435443924677,0.980162726527311,0.966464970839859,0.976937398163995,0.973610223673761,0.956750720257828,0.96499707368647,0.979316119435242,0.976215197699634,0.977434379812054,0.981105652258101
"GSM4103866",0.97943056563611,0.977959275438213,0.980756047370907,0.973189131042709,0.961754788011623,0.972165159197624,0.974970098302871,0.975743245902832,0.970168394437882,0.976635168361958,0.97269831319504,0.951672091243283,0.969600800520643,0.9752980030955,0.974272373146228,0.975283378883789,0.975607163948336,1,0.974880944739766,0.983317566997075,0.974916561618565,0.98351397857089,0.970441977081395,0.97594084383375,0.974213471636304,0.97118088328876,0.974286736973142,0.956534989035213,0.967686479322799,0.964580383900431,0.963634000276127,0.967568421886731,0.973495669418086,0.969135600893533,0.973870011533668,0.973910998086109
"GSM4103867",0.973558075195033,0.98380537554636,0.980823774185803,0.956049568095923,0.939652605832008,0.967365037000596,0.969098711578829,0.965942829598381,0.972679466804197,0.970324031924297,0.96225081708277,0.923517449340029,0.954496369036556,0.983575999632023,0.973247919241608,0.964767077957424,0.980293987876565,0.974880944739766,1,0.979573549159962,0.962709688220444,0.972026045706866,0.972346851169414,0.978744228012028,0.956492312923873,0.958826156065746,0.981237977931834,0.961318094510776,0.984641839295013,0.974787683763531,0.944222882837471,0.958807742558669,0.987008906168396,0.973766554754961,0.970671367424258,0.984519149376797
"GSM4103868",0.979333080148728,0.982704794050282,0.985977078730814,0.972788191217783,0.961889056698859,0.973871717656805,0.978851762269763,0.977053600174917,0.973560275328053,0.978231637058684,0.973079828561483,0.950836287041756,0.968709572525816,0.98309402636664,0.977197293409087,0.974844099894801,0.980710964928808,0.983317566997075,0.979573549159962,1,0.97391198800261,0.981420402027293,0.9754453051778,0.979145320288273,0.972101065828944,0.973283714304749,0.982523904958366,0.961527084295887,0.97618243096623,0.97320229041168,0.961034804762199,0.966295149198136,0.978262483894973,0.970139604506653,0.977260711802543,0.97974824838535
"GSM4103869",0.970804125363972,0.970533895695375,0.973689929641328,0.975399032693715,0.962962398210214,0.973810763282878,0.975142650730962,0.975552019920014,0.969590171809444,0.974709612248004,0.976571981368312,0.961627286735157,0.969532243373758,0.966233529365089,0.972830635311263,0.976410727908457,0.968324657101518,0.974916561618565,0.962709688220444,0.97391198800261,1,0.977385866058684,0.96997724713659,0.972336015972724,0.974823546817325,0.973054439457871,0.970125757353555,0.956337637818269,0.95863112281083,0.959834435982177,0.969751794117417,0.970952243133992,0.964862882946819,0.964892751459486,0.973729066725981,0.969293831969373
"GSM4103870",0.976993285432635,0.977197325409173,0.982377128633904,0.978468725991066,0.966068429078147,0.976873813479174,0.97775585532313,0.980269360987743,0.973716666141657,0.979193921442573,0.9765333665575,0.957754487537931,0.975403807618221,0.974929911183364,0.97567923077624,0.980302441051941,0.974978513231646,0.98351397857089,0.972026045706866,0.981420402027293,0.977385866058684,1,0.973990088954287,0.974239734413742,0.977340533169797,0.972921396298136,0.974620756350666,0.953896453861377,0.964613726793843,0.962965080234523,0.966474393725637,0.970383417753943,0.9727195139114,0.965594911412685,0.973082964103642,0.973854700130324
"GSM4103871",0.971688730418018,0.974974437960717,0.976785133012852,0.968132999959892,0.95867390450622,0.973665269501158,0.973678326073271,0.973663705577054,0.975122105806638,0.974126499175191,0.969712945034488,0.94426530309831,0.968617092676314,0.97520500721821,0.972643884286088,0.974660722351258,0.973675973674911,0.970441977081395,0.972346851169414,0.9754453051778,0.96997724713659,0.973990088954287,1,0.97584766422571,0.96744373408299,0.967755101454374,0.979298194010858,0.964255826755959,0.972759798188299,0.976966195331175,0.956130817627531,0.970614187972759,0.977050756977218,0.970538885686922,0.973378640327011,0.977105995018431
